Time,energy,c
0,17.2077,0.000685299
0.5,8.14323,0.000685744
1,5.46495,0.000686274
1.5,4.70255,0.000686526
2,4.39119,0.000686484
2.5,4.05779,0.00068627
3,3.78247,0.00068594
3.5,3.53444,0.000685594
4,3.4067,0.000685487
4.5,3.31673,0.000685489
5,3.23823,0.000685476
5.5,3.16358,0.000685452
6,3.06361,0.000685499
6.5,3.00243,0.000685551
7,2.95213,0.00068562
7.5,2.90366,0.000685664
8,2.85624,0.000685751
8.5,2.80911,0.000685811
9,2.76137,0.000685799
9.5,2.71182,0.000685792
10,2.64676,0.000685833
10.5,2.5492,0.000685847
11,2.51108,0.000685804
11.5,2.47532,0.000685791
12,2.43986,0.000685816
12.5,2.40448,0.000685863
13,2.36892,0.000685972
13.5,2.30781,0.00068611
14,2.27404,0.000686276
14.5,2.25206,0.000686394
15,2.2334,0.000686416
15.5,2.19084,0.000686495
16,2.13038,0.000686586
16.5,2.09164,0.000686558
17,2.061,0.000686491
17.5,2.03299,0.000686404
18,2.00601,0.000686342
18.5,1.97962,0.000686285
19,1.93401,0.000686182
19.5,1.90096,0.000686102
20,1.88508,0.000686036
