Time,energy,c
0,17.2077,0.00338767
1,5.38394,0.00338635
2,4.297,0.00338623
3,3.9808,0.00338545
4,3.7308,0.00338547
5,3.50072,0.00338563
6,3.30646,0.00338525
7,3.0177,0.00338488
8,2.8968,0.00338486
9,2.80601,0.00338514
10,2.69884,0.00338551
11,2.60873,0.00338574
12,2.49281,0.00338602
13,2.43571,0.00338621
14,2.38495,0.00338632
15,2.30384,0.00338646
16,2.27212,0.00338663
17,2.24549,0.00338671
18,2.22051,0.0033867
19,2.19706,0.00338669
20,2.17513,0.00338667
